Subject,Predicate,Object,Case Id,Notes
per.000001,type,person,,
per.000001,fullName,"Key, Francis Scott",,
per.000001,birth,1779,,
per.000001,death,1843,,
per.000001,sex,male,,
per.000001,attorneyFor,per.000002,http://earlywashingtondc.org/doc/oscys.case.0001.001,
per.000001,attorneyFor,per.000056,http://earlywashingtondc.org/doc/oscys.case.0011.001,
per.000001,attorneyFor,per.000057,http://earlywashingtondc.org/doc/oscys.case.0011.001,
per.000001,attorneyAgainst,per.000058,http://earlywashingtondc.org/doc/oscys.case.0011.001,
per.000001,attorneyFor,per.000115,http://earlywashingtondc.org/doc/oscys.case.0012.001,
per.000001,attorneyAgainst,per.000116,http://earlywashingtondc.org/doc/oscys.case.0012.001,
per.000001,attorneyFor,per.000137,http://earlywashingtondc.org/doc/oscys.case.0016.003,
per.000001,attorneyAgainst,per.000132,http://earlywashingtondc.org/doc/oscys.case.0016.003,
per.000001,attorneyAgainst,per.000133,http://earlywashingtondc.org/doc/oscys.case.0016.003,
per.000001,attorneyAgainst,per.000134,http://earlywashingtondc.org/doc/oscys.case.0016.003,
per.000001,attorneyAgainst,per.000135,http://earlywashingtondc.org/doc/oscys.case.0016.003,
per.000001,attorneyAgainst,per.000136,http://earlywashingtondc.org/doc/oscys.case.0016.003,
per.000001,attorneyFor,per.000213,http://earlywashingtondc.org/doc/oscys.case.0025.001,
per.000001,attorneyAgainst,per.000214,http://earlywashingtondc.org/doc/oscys.case.0025.001,
per.000001,attorneyFor,per.000223,http://earlywashingtondc.org/doc/oscys.case.0026.001,
per.000001,attorneyAgainst,per.000225,http://earlywashingtondc.org/doc/oscys.case.0026.001,
per.000001,attorneyFor,per.000226,http://earlywashingtondc.org/doc/oscys.case.0027.001,
per.000001,attorneyFor,per.000227,http://earlywashingtondc.org/doc/oscys.case.0027.001,
per.000001,attorneyAgainst,per.000228,http://earlywashingtondc.org/doc/oscys.case.0027.001,
per.000001,attorneyFor,per.000230,http://earlywashingtondc.org/doc/oscys.case.0028.001,
per.000001,attorneyFor,per.000231,http://earlywashingtondc.org/doc/oscys.case.0028.001,
per.000001,attorneyAgainst,per.000232,http://earlywashingtondc.org/doc/oscys.case.0030.001,
per.000001,attorneyFor,per.000236,http://earlywashingtondc.org/doc/oscys.case.0029.001,
per.000001,attorneyFor,per.000248,http://earlywashingtondc.org/doc/oscys.case.0030.001,
per.000001,attorneyFor,per.000249,http://earlywashingtondc.org/doc/oscys.case.0030.001,
per.000001,attorneyFor,per.000250,http://earlywashingtondc.org/doc/oscys.case.0030.001,
per.000001,attorneyAgainst,per.000232,http://earlywashingtondc.org/doc/oscys.case.0030.001,
per.000001,attorneyFor,per.000260,http://earlywashingtondc.org/doc/oscys.case.0031.001,
per.000001,attorneyAgainst,per.000262,http://earlywashingtondc.org/doc/oscys.case.0031.001,
per.000001,attorneyFor,per.000276,http://earlywashingtondc.org/doc/oscys.case.0033.001,
per.000001,attorneyAgainst,per.000277,http://earlywashingtondc.org/doc/oscys.case.0033.001,
per.000001,attorneyAgainst,per.000278,http://earlywashingtondc.org/doc/oscys.case.0034.001,
per.000001,attorneyFor,per.000279,http://earlywashingtondc.org/doc/oscys.case.0034.001,
per.000001,attorneyFor,per.000280,http://earlywashingtondc.org/doc/oscys.case.0034.001,
per.000001,attorneyAgainst,per.000278,http://earlywashingtondc.org/doc/oscys.case.0034.001,
per.000001,attorneyAgainst,per.000281,http://earlywashingtondc.org/doc/oscys.case.0034.001,
per.000001,attorneyWith,per.000194,http://earlywashingtondc.org/doc/oscys.case.0054.001,
per.000194,attorneyWith,per.000001,http://earlywashingtondc.org/doc/oscys.case.0054.001,
per.000001,attorneyFor,per.000282,http://earlywashingtondc.org/doc/oscys.case.0035.001,
per.000001,attorneyAgainst,per.000283,http://earlywashingtondc.org/doc/oscys.case.0035.001,
per.000001,attorneyFor,per.000284,http://earlywashingtondc.org/doc/oscys.case.0036.001,
per.000001,attorneyFor,per.000285,http://earlywashingtondc.org/doc/oscys.case.0036.001,
per.000001,attorneyFor,per.000286,http://earlywashingtondc.org/doc/oscys.case.0036.001,
per.000001,attorneyAgainst,per.000287,http://earlywashingtondc.org/doc/oscys.case.0036.001,
per.000001,attorneyFor,per.000431,http://earlywashingtondc.org/doc/oscys.case.0037.001,
per.000001,attorneyAgainst,per.000432,http://earlywashingtondc.org/doc/oscys.case.0037.001,
per.000001,attorneyFor,per.000439,http://earlywashingtondc.org/doc/oscys.case.0038.001,
per.000001,attorneyAgainst,per.000337,http://earlywashingtondc.org/doc/oscys.case.0038.001,
per.000001,attorneyFor,per.000440,http://earlywashingtondc.org/doc/oscys.case.0039.001,
per.000001,attorneyAgainst,per.000114,http://earlywashingtondc.org/doc/oscys.case.0040.001,
per.000001,attorneyFor,per.000441,http://earlywashingtondc.org/doc/oscys.case.0040.001,
per.000001,attorneyAgainst,per.000114,http://earlywashingtondc.org/doc/oscys.case.0040.001,
per.000001,attorneyFor,per.000442,http://earlywashingtondc.org/doc/oscys.case.0041.001,
per.000001,attorneyAgainst,per.000443,http://earlywashingtondc.org/doc/oscys.case.0041.001,
per.000001,attorneyFor,per.000458,http://earlywashingtondc.org/doc/oscys.case.0043.001,
per.000001,attorneyAgainst,per.000459,http://earlywashingtondc.org/doc/oscys.case.0043.001,
per.000001,attorneyFor,per.000474,http://earlywashingtondc.org/doc/oscys.case.0047.001,
per.000001,attorneyAgainst,per.000475,http://earlywashingtondc.org/doc/oscys.case.0047.001,
per.000001,attorneyFor,per.000484,http://earlywashingtondc.org/doc/oscys.case.0050.001,
per.000001,attorneyAgainst,per.000485,http://earlywashingtondc.org/doc/oscys.case.0050.001,
per.000001,attorneyFor,per.000492,http://earlywashingtondc.org/doc/oscys.case.0051.001,
per.000001,attorneyAgainst,per.000493,http://earlywashingtondc.org/doc/oscys.case.0051.001,
